电影名称,年份,上映时间,类型,时长,语言,导演,作者,主演,Slogan,简介
奇幻变身大冒险,(2026),2026-05-01 (US),"冒险,动画,家庭,奇幻",90,英语,内森·格雷诺,约翰·惠廷顿,迈克尔·B·乔丹,Transform your destiny.,森林中的一个小生物和一只高贵的鸟突然互换了身体，他们不得不结伴而行，共同应对此生最疯狂的冒险。
肖申克的救赎,(1994),1994-09-23 (US),"剧情,犯罪",87,英语,弗兰克·德拉邦特,斯蒂芬·金,蒂姆·罗宾斯,恐惧会将你囚禁，希望则能让你获得自由。,安迪·杜佛兰被错判谋杀妻子及其情人，在缅因州肖申克服刑，判处两项无期徒刑接连执行。影片背景设定于1940年代，展现安迪如何在残酷的监狱环境中艰难求生，甚至赢得狱友们的敬重——尤其是与老囚徒“瑞德”·雷丁之间深厚的友谊。
迈克尔·杰克逊：巨星之路,(2026),2026-04-24 (CN),"音乐,剧情",87,英语,安东尼·福奎阿,约翰·洛根,贾法尔·杰克逊,Discover the making of a king.,本片将通过一段从未展现过的深度视角，真实记录传奇巨星迈克尔·杰克逊的复杂人生。影片不仅再现了他最具标志性的艺术表演瞬间，更深入挖掘了他的内心世界——从天才神童的成长阵痛到全球偶像背后的争议与坚韧，全面呈现这位伟大艺术家的辉煌与坎坷。
挽救计划,(2026),2026-03-20 (CN),"科幻,冒险",87,英语,克里斯托弗·米勒,菲尔·洛德,瑞恩·高斯林,信念是暗夜唯一的光,太阳正在被“吃”掉，绝望吞噬地球。一名“平凡”的中学教师背负全人类的希望，踏上“太空不归路”。末路孤旅中，他意外遇到一位外星萌友，一个同样身陷绝境的外星工程师，这对“宇宙搭子”成了两个文明最后的救命稻草。他们能否在资源紧缺的情况下攻克重重科学谜 题，寻回唯一的希望火种？
教父,(1972),1972-03-24 (US),"剧情,犯罪",87,英语,弗朗西斯·科波拉,马里奥·普佐,马龙·白兰度,一份你无法拒绝的邀约。,40年代的美国，“教父”维托·唐·柯里昂是黑手党柯里昂家族的首领，带领家族从事非法的勾当，但同时他也是许多弱小平民的保护神，深得人们爱戴。因为拒绝了毒枭索洛索的毒品交易要求，柯里昂家族和纽约其他几个黑手党家族的矛盾激化、圣诞前夕，索洛索劫持了“教父”的参谋汤姆，并派人暗杀“教父”；因为内奸的出卖，“教父”的大儿子逊尼被仇家杀害；小儿子麦克也被卷了进来，失去爱妻。黑手党家族之间的矛盾越来越白热化。年老的“教父”面对丧子之痛怎样统领全局？黑手党之间的仇杀如何落幕？谁是家族的内奸？谁又能够成为新一代的“教父”？血雨腥风和温情脉脉，在这部里程碑式的黑帮史诗巨片里真实上演。
幸运有八只触手,(2026),2026-05-08 (US),"剧情,悬疑,奇幻",86,英语,奥利维亚·纽曼,约翰·惠廷顿,莎莉·菲尔德,Brighter together.,马塞勒斯（阿尔弗雷德·莫里纳 配音）是水族馆里的一条有着很强的耐心和观察力的章鱼，它有时甚至会故意戏弄人类，比如向人类喷水，只为看人类反应如何。 马塞勒斯思考了自己与托娃之间的共同点。托娃（莎莉·菲尔德 饰）是这家水族馆的夜间管理员，也是它为数不多的觉得可以相处的人之一。他们俩都喜欢夜晚的宁静。对马塞勒斯来说，家与自由意味着一切，它似乎更关心托娃所承受的痛苦。托娃已经独自生活在那间风景优美的海边小屋里多年了——她的丈夫和儿子都在不久前去世了。 马塞勒斯能感受到她的不开心，某天晚上，当托娃帮它解开缠在一起的电脑线后，它决定报答她的恩情，帮她修理好电脑。卡梅伦（刘易斯·普尔曼 饰）是个穷困的音乐家，他住在一辆又旧又脏的露营车里。与卡梅伦相遇后，马塞勒斯立刻意识到，他和托娃一样，都承受着同样的痛苦。从那时起，马塞勒斯便用自己最后的时光来努力促成两人的结合。
教父2,(1974),1974-12-20 (US),"剧情,犯罪",86,英语,弗朗西斯·科波拉,马里奥·普佐,阿尔·帕西诺,柯里昂帝国的兴衰史。,作为《教父》的续篇，影片延续了科莱昂家族两代权力交替的史诗。科波拉在第二部分中讲述了两条故事线：由罗伯特·德尼罗以非凡演技演绎的年轻教父维托的根源与崛起，以及迈克尔（阿尔·帕西诺饰）作为新任教父的上位之路。
辛德勒的名单,(1993),2019-04-06 (CN),"剧情,历史,战争",86,英语,史蒂文·斯皮尔伯格,托马斯·肯尼利,连姆·尼森,谁拯救了一条生命，谁就拯救了整个世界。,1939年，波兰在纳粹德国的统治下，党卫军对犹太人进行了隔离统治。德国商人奥斯卡·辛德勒（连姆·尼森 Liam Neeson 饰）来到德军统治下的克拉科夫，开设了一间搪瓷厂，生产军需用品。凭着出众的社交能力和大量的金钱，辛德勒和德军建立了良好的关系，他的工厂雇用犹太人工作，大发战争财。
十二怒汉,(1957),1957-04-10 (US),剧情,86,英语,雷金纳德·罗斯,西德尼·吕美特,马丁·巴尔萨姆,命悬其手，死视其意,西德尼·吕美特执导的本片堪称电影史上最颠覆的法庭剧。这部改编自雷金纳德·罗斯电视剧的经典之作，以密室内群像戏的精炼笔法，透视美国司法体系的肌理，张力十足。亨利·方达饰演的异议者，在由白人男性组成的陪审团中孤身抗辩——其余成员皆急于裁定被控弑父的波多黎各少年有罪。故事在一个闷热的午后、一间汗流浃背的房间里层层推进，最终凝聚成一部史诗规模的思辨传奇。吕美特这部震撼人心的导演处女作，精准捕捉了1950年代美国社会变革的前夜，成就了影史不朽的首作丰碑。
千与千寻,(2001),2019-06-21 (CN),"动画,家庭,奇幻",85,日语,宫崎骏,,柊瑠美,隧道的另一头，是不可思议的小镇。,小女孩千寻被困在一个陌生的精灵世界。当她的父母发生神秘变化后，她必须鼓起自己从未发现的勇气，才能解救自己，并将家人带回外面的世界。
保护者,(2026),2026-03-06 (US),"动作,惊悚",85,英语,阿德里安·格鲁伯格,Mun-Bong Seub,米拉·乔沃维奇,Mother. Savior. Killer...,退役军人尼基与女儿克洛伊平静生活，却在废弃工厂醒来后发现女儿遭绑架，她必须重返黑暗世界，对抗人贩子、警察与军方，在72小时黄金救援期内救回女儿。
蝙蝠侠：黑暗骑士,(2008),2018-04-07 (CN),"动作,犯罪,惊悚",85,英语,克里斯托弗·诺兰,鲍勃·凯恩,克里斯蒂安·贝尔,黎明前的夜是最黑暗的！,蝙蝠侠在打击犯罪的战争中加大了赌注。在吉姆·戈登警长与地方检察官哈维·丹特的协助下，蝙蝠侠决心清除肆虐哥谭街头的残余犯罪组织。这一联手行动卓有成效，但他们很快发现自己沦为了一场混沌统治的猎物——这场混乱由一位新兴犯罪大师所掀动，惶恐的哥谭市民称他为“小丑”。[华纳兄弟影业]
勇夺芳心,(1995),1995-10-20 (IN),"喜剧,剧情,爱情",85,印地语,Aditya Chopra,,卡卓儿,"Come… fall In love, all over again…",乔德利和妻子结婚多年，一直十分恩爱。两人共同养育了两个女儿希姆莱和图吉，两个姑娘都出落得亭亭玉立。一晃眼，希姆莱就到了该嫁人的年纪了，尽管乔德利一家人已经在伦敦生活了二十多年了，但乔德利骨子里依旧是一个传统的印度人。乔德利将希姆莱许配给了朋友的儿子库杰，这让希姆莱感到十分不满。一次偶然中，希姆莱邂逅了名为拉杰的印度男子，尽管拉杰为人轻浮，油腔滑调，但希姆莱还是同他坠入了情网。得知此事的乔德利举家迁回了印度，拉杰亦紧跟其后，他要如何才能获得乔德利的认可呢？
绿里奇迹,(1999),1999-12-10 (US),"奇幻,剧情,犯罪",85,英语,弗兰克·德拉邦特,斯蒂芬·金,汤姆·汉克斯,保罗·埃奇康姆从不相信奇迹。直到他遇见奇迹的那一天。,1935年。美国南部惨淡肃杀的冷山监狱。这里有片一英里长的绿地，人们叫它“绿里”。不过，它的居民皆为死囚，在绿地的另一头，便是行刑用的电椅。保罗·艾治科姆（汤姆·汉 克斯饰）是这里的狱监，对于走过“绿里”、继而在电椅上惨叫毙命的死囚行刑程序，他俨然已无动于衷。除了保罗及其爱妻简外，“绿里”上还有凶残的副狱监豪威尔，有施虐倾向 的狱吏佩西，良心未泯的看守海尔和他身患绝症的妻子美琳达，喜用宠物鼠逗狱吏和诸“难友”取乐的德拉克，连环杀人狂威廉，负疚深重的犯人彼特等一干形形色色的人们。他们之 间充满了敌意和不屑。但神秘的约翰·考夫利的到来改变了一切。考夫利因谋杀两名幼女被 判死罪，他相貌恐怖，体形硕大，却出奇地平和、敏感而缄默，天真时甚至像个孩子，同时， 他似乎还具有一种不可名状的神秘力量，令人不由自主地对其产生信任感，这不禁让艾治科姆对其罪行是否属实深怀疑问。 真情无法取代程式，考夫利终要走过“绿里”。在这个貌似粗鲁的男人即将赴死的刹那，“绿里”上的人们以不同以往的形式实现了各自生命的重要跨越。
指环王3：王者无敌,(2003),2004-03-15 (CN),"冒险,奇幻,动作",85,英语,彼得·杰克逊,J.R.R.托尔金,伊利亚·伍德,敌人的邪眼在移动！,索伦大军为剿灭人类种族，已对刚铎都城米那斯提力斯展开围攻。这座昔日的伟大王国由一位日渐衰弱的摄政王守护，此刻比任何时候都更需要它的王者归来。但阿拉贡能否回应血脉的召唤，成为命定之君？中土世界的命运，正系于他宽阔的双肩。
要不要做我儿子？,(2023),2023-09-21 (US),"喜剧,爱情",85,英语,Ihtzi Hurtado,,Ludwika Paleta,,四十岁的卢发现相伴十五年的伴侣出轨，生活瞬间崩塌。她在重建自我的过程中，与一位年轻放浪的男子产生了出乎意料的关系。
寄生虫,(2019),2019-07-28 (CN),"喜剧,惊悚,剧情",85,朝鲜语,奉俊昊,韩进元,宋康昊,表现得好像这个地方是你的似的。,这部定义时代精神的惊世之作，将全球范围内对阶级不平等的审视浓缩为一场流行电影的反叛风暴。奉俊昊导演以这部打破类型桎梏的黑色喜剧惊悚片，奠定了其世界顶尖电影作者的地位。故事聚焦首尔的两个家庭——一户在低洼社区潮湿半地下室里挣扎求生的底层家庭，另一户则居住于可俯瞰城市的现代建筑奇观中尽享奢华。当两家人的命运因危险关系交织在一起时，资本主义的黑暗裂隙以惊人之势被彻底撕裂。影片凭借导演精心构建的戏剧场景、出色的群像演绎与震撼的视觉设计，成为一部技艺卓绝的典范之作。从戛纳到奥斯卡，横扫几乎所有国际至高奖项，更以首部非英语片问鼎最佳影片的历史性突破，宣告韩国新电影已成为不可忽视的世界力量。
低俗小说,(1994),2024-04-18 (CN),"惊悚,犯罪,喜剧",85,英语,昆汀·塔伦蒂诺,罗杰·阿瓦里,约翰·特拉沃尔塔,仅仅因为你是一个角色并不意味着你有角色。,由序幕、尾声及三个独立又环环相扣的故事构成。早餐店两名劫匪打劫时，偶遇黑道打手朱尔斯与文森特；文森特奉命陪伴老大马沙的妻子，深陷诱惑困境；拳击手布奇因祖传金表，和马沙结下恩怨。
你的名字。,(2016),2016-12-02 (CN),"动画,爱情,剧情",85,日语,新海诚,,神木隆之介,我正在寻觅未曾相识的你。,彗星降临之夜，两个生命的轨迹就此改变。高中生三叶与泷本是素不相识的陌生人，过着各自的生活。然而某夜，他们突然互换了身体——三叶在泷的身体中醒来，泷则进入了她的人生。这种奇异的现象持续随机发生，两人不得不互相迁就，调整生活节奏。出人意料的是，他们渐渐磨合出默契，通过留言、讯息，更重要的是，通过留在彼此生命中的印记建立起联结。当璀璨的彗星点亮夜空时，他们终于醒悟：渴望从这份羁绊中获得更多——一个真正见面的机会，一次真正了解彼此的相遇。他们牵起命运的丝线，试图寻找通向对方的路。然而阻隔他们的，不仅仅是距离。这份牵绊，是否足以对抗时间残酷的捉弄？抑或他们的相遇，终究只是对星辰许下的愿望？[FUNimation]
星际穿越,(2014),2014-11-12 (CN),"冒险,剧情,科幻",85,英语,克里斯托弗·诺兰,乔纳森·诺兰,马修·麦康纳,人类的下一步将迈向非凡！,近未来的地球黄沙遍野，小麦、秋葵等基础农作物相继因枯萎病灭绝，人类不再像从前那样仰望星空，放纵想象力和灵感的迸发，而是每日在沙尘暴的肆虐下倒数着所剩不多的光景。在家务农的前NASA宇航员库珀接连在女儿墨菲的书房发现奇怪的重力场现象，随即得知在某个未知区域内前NASA成员仍秘密进行一个拯救人类的计划。多年以前土星附近出现神秘虫洞，NASA借机将数名宇航员派遣到遥远的星系寻找适合居住的星球。在布兰德教授的劝说下，库珀忍痛告别了女儿，和其他三名专家教授女儿艾米莉亚·布兰德、罗米利、多伊尔搭乘宇宙飞船前往目前已知的最有希望的三颗星球考察。他们穿越遥远的星系银河，感受了一小时七年光阴的沧海桑田，窥见了未知星球和黑洞的壮伟与神秘。在浩瀚宇宙的绝望而孤独角落，总有一份超越了时空的笃定情怀将他们紧紧相连……
Selena Gomez: My Mind & Me,(2022),2022-11-02 (US),"纪录,音乐",85,英语,阿莱克·凯西西恩,Paul Marchand,赛琳娜·戈麦斯,"Every breath, a breakthrough.",在聚光灯下多年之后，赛琳娜·戈麦斯获得了难以想象的明星地位。但就在她到达一个新的高峰时，一个意外的转折把她拉进了黑暗。这部独特的、亲密的纪录片跨越了她六年的旅程，展现了她新的光芒。
每个人的每件事,(2019),2019-03-10 (US),纪录,85,英语,Ramez Silyan,Sebastian Jones,Lil Peep,,从 Lil Peep卧室录制歌曲到全球巡回演出，以及他留下的巨大影响。
黄金三镖客,(1966),2018-04-16 (CN),西部,85,意大利语,赛尔乔·莱昂内,卢西亚诺·文森佐尼,克林特·伊斯特伍德,对这三人来说内战不是地狱，是天堂。,对三个男人而言，内战并非地狱……而只是热身！克林特·伊斯特伍德再度化身“无名客”，此番联手两名枪手，共同追寻一批价值20万美元的黄金，决不让任何人阻挡——哪怕是内战中的交战派系。
阿甘正传,(1994),2020-08-25 (CN),"喜剧,剧情,爱情",85,英语,罗伯特·泽米吉斯,温斯顿·格鲁姆,汤姆·汉克斯,人生就像一盒巧克力，你永远不知道下一块会是什么味道,透过被命运眷顾的单纯者阿甘的双眼，全景式展现了美国历史上动荡的三十年。
好家伙,(1990),1990-09-19 (US),"剧情,犯罪",85,英语,马丁·斯科塞斯,尼古拉斯·皮莱吉,罗伯特·德尼罗,在黑手党中度过的三十年人生。,本片根据真实故事改编，讲述了纽约黑手党血腥的江湖恩怨，把所谓的“江湖道义”还原为人性的丑陋与贪婪。
七武士,(1954),1954-04-26 (JP),"动作,剧情",84,日语,黑泽明,桥本忍,三船敏郎,在悬念和场面方面无与伦比！,这部影史最具震撼力的史诗巨制，讲述十六世纪某村庄的绝望村民雇佣七位武士抵御山贼侵袭的故事。黑泽明历时三个多小时的银幕征程，通过传奇演员三船敏郎与志村乔的演绎，将哲学沉思与娱乐观赏、细腻人情与激烈战斗完美交融，铸就这部关于勇气与希望的丰碑之作——其故事之丰饶、意境之深远，令人过目难忘。
大卫·爱登堡：地球上的一段生命旅程,(2020),2020-09-28 (GB),"纪录,剧情",84,英语,Keith Scholey,艾雷斯泰·法瑟吉尔,大卫·爱登堡,,大卫·爱登堡讲述了他的一生以及地球上生命的进化史，以此来哀悼自然栖息地的消失，并表达了对未来的愿景。
电锯人剧场版：蕾塞篇,(2025),2025-09-19 (JP),"动画,动作,爱情,奇幻",84,日语,吉原达矢,濑古浩司,户谷菊之介,活出你的人生本色……并让它精彩纷呈。,故事延续TV动画的最终章，讲述男主角电次在偶然邂逅的神秘少女蕾塞的庇护下，在快节奏的战斗中，奔向难以预测的命运。  电次，一个少年，与“电锯恶魔”签订契约，化身“电锯人”，成为隶属于公安部魔物对策特别课四课的魔物猎人，与魔物战斗。正兴奋地等待着与心仪的女性、公安部上司玛奇玛约会，却遭遇突如其来的暴雨，不得不在雨中避雨。在避雨的过程中，他邂逅了名为蕾塞的少女。在附近咖啡馆工作的蕾塞对电次露出了和善的笑容，两人迅速成为了好朋友。这次邂逅标志着电次的日常生活发生了重大改变。
萤火虫之墓,(1988),1988-04-16 (JP),"动画,剧情,战争",84,日语,高畑勋,,辰巳努,为何萤火虫的生命如此短暂？,在二战期间的日本，一对年幼的兄妹挣扎求生的故事。
美丽人生,(1997),1997-12-20 (IT),"喜剧,剧情",84,意大利语,罗伯托·贝尼尼,文森佐·塞拉米,罗伯托·贝尼尼,最美丽的谎言。,犹太青年圭多（罗伯托·贝尼尼 Roberto Benigni 饰）邂逅美丽的女教师多拉（尼可莱塔·布拉斯基 Nicoletta Braschi 饰），他彬彬有礼的向多拉鞠躬：“早安！公主！”。历经诸多令人啼笑皆非的周折后，天遂人愿，两人幸福美满的生活在一起。然而好景不长，法西斯政权下，圭多和儿子被强行送往犹太人集中营。多拉虽没有犹太血统，毅然同行，与丈夫儿子分开关押在一个集中营里。聪明乐天的圭多哄骗儿子这只是一场游戏，奖品就是一辆大坦克，儿子快乐、天真的生活在纳粹的阴霾之中。尽管集中营的生活艰苦寂寞，圭多仍然带给他人很多快乐，他还趁机在纳粹的广播里问候妻子：“早安！公主！”法西斯政权即将倾覆，纳粹的集中营很快就要接受最后的清理，圭多编给儿子的游戏该怎么结束？他们一家能否平安的度过这黑暗的年代呢？
搏击俱乐部,(1999),1999-10-15 (US),"剧情,惊悚",84,英语,大卫·芬奇,恰克·帕拉尼克,爱德华·诺顿,搏击俱乐部的第一条规则是你不要谈论搏击俱乐部,杰克( 爱德华·诺顿 Edward Norton 饰)是一个充满中年危机意识的人，他非常憎恨自己的生活及一切，再加上他患有严重的失眠症，所以他常常参加各种团体咨询会，只为了能接触人群。在某一个团体咨询会上，杰克遇上了一个跟他同样理由来参加的女烟枪，玛拉(海伦娜·邦汉·卡特 Helena Bonham Carter  饰)，在莫名激素的影响下，杰克和玛拉一起逃离了咨询会，两人的情愫因而滋生…  一个偶然的机会，杰克遇到了卖肥皂的商人泰勒(布拉德·皮特 Brad Pitt 饰)，一个浑身充满叛逆、残酷和暴烈的痞子英雄，并因为自己公寓失火而住进了泰勒破旧不堪的家中。两人因缘际会地成为了好朋友，并创立了“搏击俱乐部”：一个让人们不戴护具而徒手搏击，宗旨在于发泄情绪的地下组织。
切腹,(1962),1962-09-15 (JP),"动作,剧情,历史",84,日语,小林正树,安彦滉,仲代达矢,男人的尊严，男人的挣扎。,家族没落后，失业武士仲代达矢来到井伊藩主的宅邸，请求允许他在此切腹自尽。藩主家臣认定这名走投无路的浪人只是想讨份差事，遂逼迫他当场切腹——却低估了他坚守的信念与对尊严的执着。本片由小林正树执导，荣获戛纳电影节评委会特别奖，以凌厉笔触刻画了个体在腐朽伪善体制下的抗争。
指环王1：护戒使者,(2001),2002-04-04 (CN),"冒险,奇幻,动作",84,英语,彼得·杰克逊,J.R.R.托尔金,伊利亚·伍德,至尊戒，驭众戒！,J.R.R.托尔金的文学巨著首次以电影形式磅礴呈现——这是一场正义对抗邪恶的史诗冒险，一段关于友谊力量与个人勇气的传奇，更是一次为人类纪元开辟道路的英雄征程。
上帝之城,(2002),2015-04-18 (CN),"剧情,犯罪",84,葡萄牙语,费尔南多·梅里尔斯,保罗·林斯,亚历桑德雷·罗德里格斯,你若逃跑，野兽会抓住你；你若停留，野兽会吞噬你。,巴西里约热内卢的贫民窟，这里是“上帝之城”，更是魔鬼也会叹息着转身的地方。
天堂电影院,(1988),2019-06-15 (CN),"剧情,爱情",84,意大利语,朱塞佩·托纳多雷,瓦娜·波利,菲利浦·诺瓦雷,青春、友谊与电影永恒魅力的颂扬。,在意大利南部小镇姜卡尔多，童年的小多多不仅喜欢看电影，还喜欢看放映师艾弗达“剪”电影：在40年代的意大利小镇上，电影在放映之前都要经由牧师检查，把认为观众不宜的镜头（比如接吻戏）严格地剪掉之后，才可以放映。好心的艾佛特为了让更多的观众看到电影，搞了一次露天电影，结果胶片着火了，多多把艾弗达从火海中救了出来，但艾弗达双目失明。多多成了小镇唯一会放电影的人，他接替艾佛特成了小镇的电影放映师。多多渐渐长大，他爱上了银行家的女儿艾莲娜。初恋的纯洁情愫美如天堂，但是一对小情侣的海誓山盟被艾莲娜父亲的阻挠给隔断了，托托去服兵役，而艾莲娜去念大学。伤心的多多在艾佛达的鼓励下，离开小镇，追寻自己生命中的梦想……30年后，艾佛达去世，此时的多多已经是功成名就的导演，他回到了家乡参加艾弗达的葬礼。老放映员留给他一份礼物，原来是当初被镇上的检查员勒令剪掉的吻戏胶片。多多看着这些镜头，突然发现自己已经理解了生命中的一切。
